Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-03-26,QQQ 50 Day SMA w/ Gradient,9681.994192975679,-0.0050251411240047296
2024-03-27,QQQ 50 Day SMA w/ Gradient,9732.093331077784,0.00517446479553267
2024-03-28,QQQ 50 Day SMA w/ Gradient,9706.692122795264,-0.0026100456929861425
2024-04-01,QQQ 50 Day SMA w/ Gradient,9733.521031785904,0.002763960023789593
2024-04-02,QQQ 50 Day SMA w/ Gradient,9658.921875736532,-0.007664149058265681
2024-04-03,QQQ 50 Day SMA w/ Gradient,9681.636592643039,0.002351682433995658
2024-04-04,QQQ 50 Day SMA w/ Gradient,9690.743302710183,0.0009406168037814182
2024-04-05,QQQ 50 Day SMA w/ Gradient,9763.878465761572,0.007546909536953073
2024-04-08,QQQ 50 Day SMA w/ Gradient,9767.773946017802,0.0003989685318072624
2024-04-09,QQQ 50 Day SMA w/ Gradient,9786.81484680524,0.001949359280084587
2024-04-10,QQQ 50 Day SMA w/ Gradient,9775.666838645595,-0.0011390844042875378
2024-04-11,QQQ 50 Day SMA w/ Gradient,9946.745451979834,0.01750045456315294
2024-04-12,QQQ 50 Day SMA w/ Gradient,9929.914612139335,-0.0016920951603471152
2024-04-15,QQQ 50 Day SMA w/ Gradient,10089.169230077116,0.016037863784155008
2024-04-16,QQQ 50 Day SMA w/ Gradient,10089.169230077116,0.0
2024-04-17,QQQ 50 Day SMA w/ Gradient,10292.521099105967,0.020155462198278164
2024-04-18,QQQ 50 Day SMA w/ Gradient,10413.118224971122,0.011716966591949075
2024-04-19,QQQ 50 Day SMA w/ Gradient,11077.418227724043,0.06379453189726594
2024-04-22,QQQ 50 Day SMA w/ Gradient,10808.878953166062,-0.024242045306720812
2024-04-23,QQQ 50 Day SMA w/ Gradient,10542.80511968615,-0.024616228438933047
2024-04-24,QQQ 50 Day SMA w/ Gradient,10504.898182986519,-0.00359552664298508
2024-04-25,QQQ 50 Day SMA w/ Gradient,10600.108838842869,0.009063453466931303
2024-04-26,QQQ 50 Day SMA w/ Gradient,10463.80715017942,-0.012858517845023214
2024-04-29,QQQ 50 Day SMA w/ Gradient,10450.370441192492,-0.001284112827585713
2024-04-30,QQQ 50 Day SMA w/ Gradient,10772.432766258376,0.030818268776043007
2024-05-01,QQQ 50 Day SMA w/ Gradient,10940.248250432162,0.015578234537644845
2024-05-02,QQQ 50 Day SMA w/ Gradient,10770.531992126986,-0.015513017110783681
2024-05-03,QQQ 50 Day SMA w/ Gradient,10745.883411344035,-0.002288520270026302
2024-05-06,QQQ 50 Day SMA w/ Gradient,10800.50724828693,0.005083233723271996
2024-05-07,QQQ 50 Day SMA w/ Gradient,10808.85022101648,0.0007724611944384318
2024-05-08,QQQ 50 Day SMA w/ Gradient,10806.62821314231,-0.00020557300996267892
2024-05-09,QQQ 50 Day SMA w/ Gradient,10817.848387499536,0.0010382678237770755
2024-05-10,QQQ 50 Day SMA w/ Gradient,10834.457266508669,0.0015353218509074921
2024-05-13,QQQ 50 Day SMA w/ Gradient,10860.076843431387,0.002364638697862066
2024-05-14,QQQ 50 Day SMA w/ Gradient,10939.903131673876,0.00735043493644992
2024-05-15,QQQ 50 Day SMA w/ Gradient,11309.533521580166,0.03378735492054894
2024-05-16,QQQ 50 Day SMA w/ Gradient,11263.327895967403,-0.004085546545717064
2024-05-17,QQQ 50 Day SMA w/ Gradient,11248.561488331681,-0.0013110164040424344
2024-05-20,QQQ 50 Day SMA w/ Gradient,11429.754067269045,0.01610806671815915
2024-05-21,QQQ 50 Day SMA w/ Gradient,11475.440370235143,0.0039971378821639595
2024-05-22,QQQ 50 Day SMA w/ Gradient,11471.564142852505,-0.0003377846302693951
2024-05-23,QQQ 50 Day SMA w/ Gradient,11355.878988395787,-0.01008451445819592
2024-05-24,QQQ 50 Day SMA w/ Gradient,11629.488212191225,0.02409405948011867
2024-05-28,QQQ 50 Day SMA w/ Gradient,11746.584962088244,0.010068951252236924
2024-05-29,QQQ 50 Day SMA w/ Gradient,11562.785823465863,-0.01564702755869787
2024-05-30,QQQ 50 Day SMA w/ Gradient,11376.336094959293,-0.016124983317444375
2024-05-31,QQQ 50 Day SMA w/ Gradient,11365.642392381502,-0.0009399953103117787
2024-06-03,QQQ 50 Day SMA w/ Gradient,11432.625635668192,0.005893485029195405
2024-06-04,QQQ 50 Day SMA w/ Gradient,11487.9671924512,0.0048406690244760416
2024-06-05,QQQ 50 Day SMA w/ Gradient,11487.9671924512,0.0
2024-06-06,QQQ 50 Day SMA w/ Gradient,11477.875940813077,-0.0008784192598281456
2024-06-07,QQQ 50 Day SMA w/ Gradient,11435.263935314728,-0.003712534071467804
2024-06-10,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-11,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-12,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-13,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-14,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-17,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-18,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-20,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-21,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-24,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-25,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-26,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-27,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-06-28,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-01,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-02,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-03,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-05,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-08,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-09,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-10,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-11,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-12,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-15,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-16,QQQ 50 Day SMA w/ Gradient,11435.263935314728,0.0
2024-07-17,QQQ 50 Day SMA w/ Gradient,10884.440963851104,-0.048168802624883406
2024-07-18,QQQ 50 Day SMA w/ Gradient,10815.201477194922,-0.006361326859701577
2024-07-19,QQQ 50 Day SMA w/ Gradient,10758.911501444887,-0.00520470893387686
2024-07-22,QQQ 50 Day SMA w/ Gradient,10978.50056579016,0.02040997031305461
2024-07-23,QQQ 50 Day SMA w/ Gradient,10936.79137311591,-0.0037991702440877953
2024-07-24,QQQ 50 Day SMA w/ Gradient,11389.618154677843,0.04140398825518804
2024-07-25,QQQ 50 Day SMA w/ Gradient,11631.833277254806,0.02126630755197719
2024-07-26,QQQ 50 Day SMA w/ Gradient,11486.476775664709,-0.012496439565922156
2024-07-29,QQQ 50 Day SMA w/ Gradient,11462.43102260042,-0.0020933967424400773
