date,strategy,portfolio_value,daily_return,tqqq_position,sqqq_position,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,ma_50,deviation_pct,cumulative_return
2025-03-18,Buy_Hold_QQQ,9273.207605383932,0.013381379862603713,1.0,0.0,480.89,476.81,485.33,474.87,40430334,520.9248,-0.07685331932747302,-0.07267923946160681
2025-03-19,Buy_Hold_QQQ,9241.77561803386,-0.003389548545405385,1.0,0.0,479.26,476.88,484.55,476.18,36780549,520.5934,-0.0793967038383506,-0.07582243819661398
2025-03-20,Buy_Hold_QQQ,9272.243433992824,0.0032967491549471773,1.0,0.0,480.84,474.08,481.61,472.905,42234874,519.9858,-0.07528244040510348,-0.0727756566007176
2025-03-21,Buy_Hold_QQQ,9272.243433992824,0.0,1.0,0.0,480.84,474.08,481.61,472.9,42230000,519.3308000000001,-0.07411615101588445,-0.0727756566007176
2025-03-24,Buy_Hold_QQQ,9515.6002931081,0.026245736627568433,1.0,0.0,493.46,491.39,493.62,490.42,26035241,518.863,-0.048958973756078335,-0.048439970689189975
2025-03-25,Buy_Hold_QQQ,9340.506768483163,-0.01840068090625377,1.0,0.0,484.38,492.3,493.16,482.82,35043357,518.0122,-0.06492549789367898,-0.06594932315168371
2025-03-26,Buy_Hold_QQQ,9287.284507694085,-0.005698005698005679,1.0,0.0,481.62,482.41,486.5799,480.25,33469817,517.1388,-0.06868330127230822,-0.07127154923059152
2025-03-27,Buy_Hold_QQQ,9042.770642909481,-0.026327810306880958,1.0,0.0,468.94,479.81,480.52,468.05,46363797,516.5333999999999,-0.09214002424625382,-0.09572293570905185
2025-03-28,Buy_Hold_QQQ,9042.770642909481,0.0,1.0,0.0,468.94,479.81,480.52,468.05,46360000,515.7563999999999,-0.0907723103387566,-0.09572293570905185
2025-03-31,Buy_Hold_QQQ,9115.276331520688,0.008018083336887428,1.0,0.0,472.7,467.3,473.63,464.42,41156226,515.2384000000001,-0.08256061660000512,-0.08847236684793115
2025-04-01,Buy_Hold_QQQ,9181.804157507035,0.007298497990268646,1.0,0.0,476.15,466.12,479.56,465.86,49894489,514.73,-0.07495191653876797,-0.08181958424929653
2025-04-02,Buy_Hold_QQQ,8690.26958232095,-0.053533550351779806,1.0,0.0,450.66,456.44,460.07,450.14,70456338,514.0514,-0.12331724026040962,-0.13097304176790495
2025-04-03,Buy_Hold_QQQ,8150.526437579541,-0.06210890693649316,1.0,0.0,422.67,438.14,440.37,422.67,117088441,513.2806,-0.17653229052490982,-0.18494735624204586
2025-04-04,Buy_Hold_QQQ,8150.526437579541,0.0,1.0,0.0,422.67,438.14,440.37,422.67,117090000,512.4636,-0.17521946924620602,-0.18494735624204586
2025-04-07,Buy_Hold_QQQ,8023.062979675264,-0.015638677928407535,1.0,0.0,416.06,438.16,443.1384,409.79,101248060,511.61400000000003,-0.18676971310401988,-0.19769370203247363
2025-04-08,Buy_Hold_QQQ,8986.07736511242,0.12003076479353939,1.0,0.0,466.0,415.57,467.83,415.43,142876878,510.73479999999995,-0.08758909712046242,-0.101392263488758
2025-04-09,Buy_Hold_QQQ,8603.87982567781,-0.042532188841201704,1.0,0.0,446.18,453.56,455.59,432.63,108384092,509.7214,-0.12465907846914022,-0.139612017432219
2025-04-10,Buy_Hold_QQQ,8762.389602375715,0.018423057958671323,1.0,0.0,454.4,444.65,455.79,441.33,52483779,508.8818,-0.10706179706171456,-0.12376103976242848
2025-04-11,Buy_Hold_QQQ,8762.389602375715,0.0,1.0,0.0,454.4,444.65,455.79,441.33,52480000,508.15840000000003,-0.10579063536094267,-0.12376103976242848
2025-04-14,Buy_Hold_QQQ,8831.61710825716,0.007900528169014156,1.0,0.0,457.99,458.54,462.38,456.15,35404210,507.25340000000006,-0.09711792961860885,-0.116838289174284
2025-04-15,Buy_Hold_QQQ,8565.312970033548,-0.030153496801240205,1.0,0.0,444.18,449.03,452.62,437.76,48980552,506.6016,-0.12321634988914368,-0.14346870299664516
2025-04-16,Buy_Hold_QQQ,8563.770295807779,-0.00018010716376240282,1.0,0.0,444.1,447.17,447.75,441.36,44837047,505.5442,-0.12154070801326564,-0.14362297041922212
2025-04-17,Buy_Hold_QQQ,8563.770295807779,0.0,1.0,0.0,444.1,447.17,447.75,441.36,44840000,504.5064,-0.11973366442923214,-0.14362297041922212
